business_id	stars	text
T0NKethAB-FFR05EeZCzuA	1.0	"b""I don't know why I bother. After a log day at the park and really no urge to cook I figured why not and have some fast food. Being vegetarian really the only place to go is Burger King. When ordering my childrens meals I specifically asked for no pickles and no mustard and not to any surprise when we got home of course there was pickles and mustard. For my vegetarian sandwich I asked for mayo (which they charged me .75 for) and yup that wasn't on there either. The person taking our order must have been doing something else brig the fact that I had to repeat myself 6 times and then drive thru girl well let's just say her attitude wasn't any better. No smile, no hello, and no here's your food. Needles to say I've been staying away from fast food for a reason and Burger King you pretty much proved my point."""
W7hCuNdn2gzehta6eSHzgQ	1.0	"b""Didn't care for our square fish or the sauce. Both of us ended up feeling and getting sick that night.  I won't be returning.  I don't understand the appeal at all."""
3C0bnFhjkgYP9mWORKg6cA	5.0	b'the BEST BEST hotdogs!! If you havent tried chili mans hotdogs or even met the chili man, well im sorry you are missing out. 5stars no doubt!'
3C0bnFhjkgYP9mWORKg6cA	5.0	"b'I have tried most of the hot dog vendors in the uptown area and ""The Chili Man""  is by far the best!  Also, you always get very good conversation while you wait!  What more could you ask for!'"
W7hCuNdn2gzehta6eSHzgQ	1.0	"b""If i could give 0 stars I would. Awful awful awful! What a waste of my time and money. Ordered the 4 piece shrimp and chips & 2 piece fish 7 shrimp, ended up with 3 pieces of fish and 9 shrimps that were so completely covered in their breaded stuff you couldn't even enjoy the shrimp. I will never go to this location again."""
3C0bnFhjkgYP9mWORKg6cA	5.0	"b'My girlfriend and I made the trek from South Charlotte.  Wow, was it worth it, worth the wait, Holy Cow!  We couldn\'t decide what to get, so we both got two.  The life changer is just that.  I lived in Chicago as a teenager, and USED to think a Chicago dog was the best there is...no longer.  Chili man\'s life changer is the best hot dog I\'ve ever had.  Can\'t wait to go again.  I think he\'s right, my husband may have a problem with this, but I may be waking up in the night saying, ""Chili man, that\'s a life changer""'"
3C0bnFhjkgYP9mWORKg6cA	5.0	"b""Had my first visit and Vic is the best. The line was 10 deep at 11:15am and he charmed the crown as we patiently waited for the best chili dog I have ever had. The Boogie Down Dog was so good I wasn't sure that Southern all the way would even come close. Both were outstanding. I will definitely be a repeat customer."""
-LfTBo0oa_uD454ScEW2XA	3.0	"b'I can\'t help but feel that the foodies who love this place only do so with a kind of hipster irony.  \n\nWhen ordering at Merry-Ann\'s, ""Occam\'s razor"" applies: go with the simple choices.  See a particular dish on the menu that you\'d consider ordering?  First, imagine yourself cooking it at home...now count all of the potential steps where poor decision-making or lack of skill could result in disaster.  Choose the dish where there is little room for error and you\'re set.\n\nOn my first, misguided visit to Merry-Ann\'s, my youthful enthusiasm (and naivete) led me to order the Mexican omelet.  What was I expecting?  Maybe an egg-licious concoction with chorizo and peppers.  Instead I got something akin to a burrito with scoops of taco meat, where the thin skin of egg acted as a wrap.  I openly and unashamedly admit that I am a snob in this regard--due to early childhood trauma involving Taco Bell, I simply refuse to consume oily ground beef cooked with packets of ""Mexican-flavored"" seasonings.  The meal didn\'t make it far past ""Go"" before it had to take a few steps back...  Err.\n\nWith that experience behind me, I still gladly stop by Merry-Ann\'s, but now I stick with those simple dishes, like eggs, breakfast meat, and hash browns.  All the breakfast combination plates are pretty reasonably priced and the serving sizes are more than adequate.  I don\'t recommend the dinner items (remember Occam\'s razor?).\n\nThe overall ambiance of the place is above average.  Compared to campus-town\'s IHOP, Merry-Ann\'s is bright and clean.  The kitchen isn\'t in a separate room, which allows you to observe that a good deal of the food items are microwaved.  Maybe those people who have food industry experience wouldn\'t be surprised or bothered, but most places aren\'t quite so brazen about the nature of food preparation.\n\nFor standard breakfasts, Merry-Ann\'s is a solid choice, especially as it\'s the only real 24-hour game in town and within easy walking distance of all the downtown bars.  Still, I\'d recommend keeping your expectations low.'"
W7hCuNdn2gzehta6eSHzgQ	1.0	b'Square fish... Ewwww... No, just no! How is this place still open??? The frozen fish from any grocery store is WAY better than their fish!!! Everything was bland and tasted like deep fried cardboard! I use to love this place as a kid... It was no where near how I remembered it! Super disappointed!'
F7mv0e3N2DgYY93cl8LpZw	1.0	"b""Bad service! Slow , food isn't always fresh.went 2 days ago said were waiting on fresh fries bs they were not fresh looked like they were thrown in the oil again !!i just hate the fact that they lie o and it seems like everyone thAt works their is lazy af don't even try to give you yore order correct nd fresh !"""
3C0bnFhjkgYP9mWORKg6cA	5.0	"b'Best hot dogs in Charlotte. Vic makes everything from scratch and it\'s always amazing. Try ""the life changer""'"
3C0bnFhjkgYP9mWORKg6cA	5.0	b'Come for the great dogs, stay for the conversation. Sidewalk socialite and local philanthropist, Vic will definitely put a smile on your face :).'
-LfTBo0oa_uD454ScEW2XA	1.0	"b'So let me start by saying I love this place...after a night of drinking downtown this is the place to be. Generally there is a lovely gentleman here taking care of everyone...he is so thoughtful and caring it makes me wonder why I feel so jaded in the restaurant industry. Tonight on the other hand has been a different experience all together. This is the first Monday night I\'ve ever been here and even the atmosphere is different. Every time I come here I play music on the ""Touchtunes"" jukebox...tonight tho...I bought $20 worth of credit on the jukebox and knowing that we were going to be here for a while I played a significant amount of music, at my expense, on the jukebox. About 2 minutes into the second song I play I hear the waitress, who I have never seen before, starts speaking poorly of the music selection to other diners...very loudly and completely conspicuously thinking that who ever played the music had already left...completely rude. The wonderful cook, a very polite young lady, was the star of the night making sure our coffee stayed full and thoroughly apologized for what happened. Don\'t get me wrong, I will be back, I just hope I don\'t have to put up with the overly judgmental opinion of a late night server who clearly wants to listen to the phone playing music in her pocket more than the tipping guest playing music on the jukebox.'"
W7hCuNdn2gzehta6eSHzgQ	1.0	"b""This place is a joke, if I wanted Square fish I would've gotten a fish sandwich from McDonald's or went to the Safeway and purchase frozen Gordon's fish and fry it at home which taste the same. Then there was not tater sauce who serves fish with out tarter sauce. Now let's talk about the shrimp which looked like chicken tenders which also has no taste, and what is this red special sauce taste like katsup that was watered down. I don't know if it's because I am from the east cost, bet there has to be a better place the petes"""
3C0bnFhjkgYP9mWORKg6cA	5.0	"b""Hands down the best hot dog I've ever had! It was so good I even went back and got a second one! I flew to Charlotte from Arizona for a bachelorette weekend, and these hot dogs were definitely part of the memorable experience.\n\nHe had so many amazing choices including creating your own with a variety of toppings and sauces. Vic was incredibly personable and friendly!"""
W7hCuNdn2gzehta6eSHzgQ	1.0	"b""So bad I don't even know where to start.  Read all the other reviews and you'll get the idea."""
3C0bnFhjkgYP9mWORKg6cA	5.0	b'All I can do is backup everything others have said. The best Hot dog in the City, rivaling NYC, this coming from a New Yorker. I am upset his hours make it so difficult to get to his dogs, but my arteries are probably better for it.\n\nRead more at http://eatitcharlotte.com/2016/05/16/vic-the-chili-man/'
-LfTBo0oa_uD454ScEW2XA	5.0	"b""The second Merry Ann's. It gets crowded here when drunken people come out of downtown Champaign's bars, but outside of that it's easy to grab a seat. I think I'm addicted to the cheeseburgers here. Also, the place is 24 hours."""
